,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
9978,Shoghi Effendi,Citadel of Faith,b'19254-0.txt',0,0,1947,1947,,1941
9979,A. J. Bueltmann,White Queen of the Cannibals: The Story of Mary Slessor,b'10022.txt',0,0,1948,,,
9980,Andre Alice Norton,The Gifts of Asti,b'19029.txt',0,0,1948,1948,,1958
9981,H. Beam Piper,Police Operation,b'19067-8.txt',0,0,1948,1948,,1964
9982,Henry Beam Piper,He Walked Around the Horses,b'18807-8.txt',1,0,1948,1948 1809,,1981
9983,Lee Tarbell,Valley of the Croen,b'26010.txt',0,0,1949,1949,,
9984,Stanley Grauman Weinbaum,The Worlds of If,b'22890-0.txt',0,0,1949,1949,,
9985,Stanley Grauman Weinbaum,Pygmalion's Spectacles,b'22893.txt',0,0,1949,1949,,1939
9986,Stanley Grauman Weinbaum,The Point of View,b'22895.txt',0,0,1949,1949,,1939
9987,Stanley Grauman Weinbaum,The Ideal,b'22897-8.txt',0,0,1949,1949,,1939
9988,H. Beam Piper,Rebel Raider,b'19194.txt',1,0,1950,1950 1863,,1964
9989,Henry Beam Piper,Last Enemy,b'18800.txt',0,0,1950,1950,,1981
9990,Henry Beam Piper,The Mercenaries,b'18814.txt',0,0,1950,1950,,1981
9991,Shoghi Effendi,Messages to the Bahá'í World: 1950-1957,b'19280-8.txt',0,0,1950,1950,,1941
9992,Shoghi Effendi,Messages to the Baha'i World: 1950-1957,b'19280.txt',0,0,1950,1950,,1941
9993,Wolfram Eberhard,A History of China,b'11367-8.txt',1,0,1950,1600 1028,,1967
9994,H. Beam Piper,Genesis,b'18105.txt',0,0,1951,1951,,1964
9995,Henry Beam Piper,Operation R.S.V.P.,b'18261.txt',0,0,1951,1951,,1981
9996,Henry Beam Piper,Temple Trouble,b'18861.txt',0,0,1951,1951,,1981
9997,Henry Beam Piper,Day of the Moron,b'18949-8.txt',0,0,1951,1951,,1981
9998,Henry Beam Piper,Dearest,b'19102.txt',0,0,1951,1951,,1981
9999,Carey Rockwell,Stand by for Mars!,b'19526.txt',0,0,1952,1952,,
10000,Florence Verbell Brown,Bride of the Dark One,b'31306.txt',0,0,1952,1952,,
10001,H. Beam Piper,Naudsonce,b'19076.txt',0,0,1952,,,1964
10002,Harold Leland Goodwin,Rip Foster in Ride the Gray Planet,b'18139-8.txt',0,0,1952,1952,,
10003,"Henry Beam Piper, John D. Clark and John F. Carr",Uller Uprising,b'19474-8.txt',0,0,1952,1952,,
10004,Henry Hasse,One Purple Hope!,b'31307.txt',0,0,1952,1952,,
10005,Alfred Coppel,Turnover Point,b'31287.txt',0,0,1953,1953,,1983
10006,Carey Rockwell,The Space Pioneers,b'18753-8.txt',0,0,1953,1953,,
10007,Carey Rockwell,Danger in Deep Space,b'19709-8.txt',0,0,1953,1953,,
10008,Carl Weschcke,Growing Nuts in the North,b'18189-8.txt',1,0,1953,1953 1910 1952,,
10009,Henry Beam Piper,Murder in the Gunroom,b'17866-8.txt',0,0,1953,1953,,1981
10010,Henry Beam Piper,Ullr Uprising,b'19370-8.txt',0,0,1953,1953,,1981
10011,Henry Beam Piper and John Joseph McGuire,Null-ABC,b'18346-8.txt',0,0,1953,1953,,
10012,Lester del Rey,Let'em Breathe Space,b'31286-8.txt',0,0,1953,1953,,1963
10013,Murray Leinster,Space Tug,b'18719.txt',0,0,1953,1953,,1959
10014,Carey Rockwell,The Revolt on Venus,b'19027-8.txt',0,0,1954,1954,,
